City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Hotel Name
339,339,Utete,TZ,-7.99,38.76,70.93,96,60,3.87,light rain,0.0,0,River View Lodge
340,340,Tianpeng,CN,30.99,103.94,81.0,1,100,1.01,light rain,0.0,0,Shuangliu Love Home Business Hotel
342,342,Effium,NG,6.63,8.06,80.6,78,75,6.93,broken clouds,0.0,0,
344,344,Dong Hoi,VN,17.48,106.6,83.43,70,95,7.81,overcast clouds,0.0,0,Nam Long Hotel
345,345,Nara,JP,34.69,135.8,75.99,100,75,4.7,light intensity shower rain,0.0,0,Guesthouse Nara Komachi
348,348,Danjiangkou,CN,32.54,111.51,78.1,81,98,5.28,overcast clouds,0.0,0,Dongsheng Guesthouse
349,349,Kikwit,CD,-5.04,18.82,77.97,50,19,1.07,few clouds,0.0,0,Centre D'Accueil Protestant
351,351,Guozhen,CN,34.37,107.36,79.38,51,100,1.21,overcast clouds,0.0,0,Yucai Hotel
356,356,Wahiawa,US,21.5,-158.02,87.8,65,75,18.34,light intensity drizzle,0.0,0,Aloha Wahiawa
357,357,Washington,US,47.5,-120.5,78.01,36,85,10.0,overcast clouds,0.0,0,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
360,360,Natal,BR,-5.79,-35.21,77.0,88,40,5.82,scattered clouds,0.0,0,Villa Park Hotel | Natal
361,361,Bantou,CN,26.22,117.49,75.51,90,100,2.24,light rain,0.0,0,
363,363,La Rioja,ES,42.25,-2.5,71.6,68,67,9.17,broken clouds,0.0,0,Casa Concejos
367,367,Witu,KE,-2.39,40.44,77.0,88,90,5.82,mist,0.0,0,
368,368,Tevaitoa,PF,-16.78,-151.5,77.0,76,15,25.1,few clouds,0.0,0,Hôtel Raiatea Lodge
369,369,Saint-Georges,GD,12.06,-61.75,84.2,79,20,11.41,few clouds,0.0,0,Radisson Grenada Beach Resort
370,370,Nicoya,CR,10.15,-85.45,78.8,88,75,3.36,broken clouds,0.0,0,Guayacan Real
371,371,Hilo,US,19.73,-155.09,82.4,65,90,3.36,overcast clouds,0.0,0,Hilo Hawaiian Hotel
372,372,Contamana,PE,-7.33,-75.02,75.81,86,10,3.56,light rain,0.0,0,Shiringal Touristic Park
374,374,Le Pont-De-Claix,FR,45.12,5.71,70.0,51,47,8.01,scattered clouds,0.0,0,PoMo Hotel & Restaurant
375,375,Zeya,RU,53.75,127.27,70.05,58,100,7.83,overcast clouds,0.0,0,Kapital Inn
376,376,San Patricio,MX,19.22,-104.7,86.0,74,75,11.41,broken clouds,0.0,0,Hotel Cabo Blanco
378,378,Aktau,KZ,43.65,51.2,77.0,73,39,6.71,scattered clouds,0.0,0,Silk Way Hotel
381,381,Tagusao,PH,9.19,117.81,80.67,78,100,5.39,overcast clouds,0.0,0,"Shaman's Breath- Beach, Bed & Breakfast"
384,384,Novo Aripuana,BR,-5.12,-60.38,80.08,61,52,0.63,broken clouds,0.0,0,Hotel Ypê
385,385,Guerrero Negro,MX,27.98,-114.06,80.58,39,28,15.5,scattered clouds,0.0,0,"Casa Laguna, Bed & Breakfast"
387,387,Miracema Do Tocantins,BR,-9.56,-48.4,78.28,32,14,4.32,few clouds,0.0,0,Miami Apart Hotel
388,388,Arteaga,MX,18.47,-102.42,76.39,78,95,2.26,light rain,0.0,0,
391,391,Luang Prabang,LA,19.89,102.13,74.55,86,100,1.74,overcast clouds,0.0,0,Villa Oasis
392,392,Pemangkat,ID,1.17,108.97,78.1,87,100,14.12,light rain,0.0,0,Kost H.Syamsuddin
396,396,Maceio,BR,-9.67,-35.74,73.4,94,75,3.36,broken clouds,0.0,0,Mercure Maceio Pajucara Hotel
399,399,Matay,EG,28.42,30.78,79.23,63,0,11.83,clear sky,0.0,0,Nag Aespen
400,400,Muisne,EC,0.6,-80.03,74.62,88,83,12.57,broken clouds,0.0,0,Quinta Samay
403,403,Nantucket,US,41.28,-70.1,75.0,88,1,8.05,clear sky,0.0,0,Jared Coffin House
404,404,Jiazi,CN,22.88,116.07,83.08,85,100,11.88,overcast clouds,0.0,0,Hotel Jin Hao
411,411,Abu Zabad,SD,12.35,29.25,79.02,68,83,8.03,broken clouds,0.0,0,محي الدين نوري
416,416,Virginia Beach,US,36.85,-75.98,82.4,74,75,12.75,broken clouds,0.0,0,Hilton Virginia Beach Oceanfront
418,418,Inirida,CO,3.87,-67.92,75.49,95,100,2.04,light rain,0.0,0,Fuente del Guania Hotel de Lujo
420,420,Porbandar,IN,21.64,69.61,83.35,81,40,16.58,light rain,0.0,0,Lords Inn Porbandar
428,428,Srandakan,ID,-7.94,110.25,74.21,87,98,5.91,overcast clouds,0.0,0,Puri Brata
431,431,Nieves,PH,15.33,120.95,80.6,78,75,2.24,broken clouds,0.0,0,H&K Experience Hotel
432,432,Pandan,PH,14.05,124.17,82.45,77,100,5.93,overcast clouds,0.0,0,Bonifacio Lodge
433,433,Wattegama,LK,6.8,81.48,75.24,86,93,3.74,overcast clouds,0.0,0,
434,434,Cururupu,BR,-1.83,-44.87,75.65,88,11,3.4,few clouds,0.0,0,Pousada Través'cia
435,435,Palmer,US,42.16,-72.33,89.6,52,1,8.05,clear sky,0.0,0,Wedgewood Motel
436,436,Naze,JP,28.37,129.48,84.2,94,75,17.22,broken clouds,0.0,0,奄美ポートタワーホテル
437,437,Uglekamensk,RU,43.22,133.23,71.02,62,4,1.54,clear sky,0.0,0,
438,438,Nhulunbuy,AU,-12.23,136.77,77.0,78,90,11.41,overcast clouds,0.0,0,East Arnhem Real Estate
439,439,Hamamatsu,JP,34.7,137.73,77.0,98,100,3.56,light rain,0.0,0,Hotel Crown Palais Hamamatsu
441,441,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,76.68,84,46,8.01,light rain,0.0,0,Crôa Mares Hotel
444,444,Luganville,VU,-15.53,167.17,77.0,94,75,8.05,broken clouds,0.0,0,The Espiritu Hotel
445,445,Gamba,GA,-2.65,10.0,72.95,88,98,5.93,overcast clouds,0.0,0,
447,447,Mucurapo,TT,10.67,-61.53,84.2,66,20,13.87,few clouds,0.0,0,Courtyard by Marriott Port of Spain
448,448,Sao Joao Da Barra,BR,-21.64,-41.05,71.29,80,1,17.87,clear sky,0.0,0,Pousada Porto De Canoas
449,449,Marsa Matruh,EG,31.35,27.25,77.0,78,0,5.82,clear sky,0.0,0,Beau Site
452,452,Nador,MA,35.17,-2.93,75.2,83,47,2.24,scattered clouds,0.0,0,Hôtel La Giralda
455,455,Bud,US,39.45,-86.18,90.0,55,40,4.7,scattered clouds,0.0,0,Madsion Scouts Camp
457,457,Cameta,BR,-2.24,-49.5,83.05,70,100,3.24,overcast clouds,0.0,0,Hotel San Juan
459,459,Jacareacanga,BR,-6.22,-57.75,80.33,54,31,1.48,scattered clouds,0.0,0,Casa do Ian😎
460,460,Sabha,LY,27.04,14.43,81.9,21,0,9.84,clear sky,0.0,0,محطة ام الارانب -سبها مواصلات
461,461,Amacuzac,MX,18.58,-99.35,81.0,61,75,5.82,broken clouds,0.0,0,Hacienda San Gabriel de las Palmas
462,462,Daltenganj,IN,24.03,84.07,81.46,76,97,7.99,light rain,0.0,0,Hotel Bandhan & Marriage Hall
466,466,Buraydah,SA,26.33,43.98,86.0,25,0,6.93,clear sky,0.0,0,Mövenpick Hotel Qassim
467,467,Presidente Medici,BR,-11.18,-61.9,78.06,54,1,2.24,clear sky,0.0,0,Oliveira Palace Hotel
468,468,Katsuura,JP,35.13,140.3,77.0,86,93,5.99,overcast clouds,0.0,0,Katsuura Hotel Mikazuki
472,472,Kavaratti,IN,10.57,72.64,83.7,74,100,11.34,overcast clouds,0.0,0,Bismillah Hotel And Lodging
473,473,Camara De Lobos,PT,32.63,-16.97,77.0,36,20,18.34,few clouds,0.0,0,Golden Residence Hotel
474,474,Robertsport,LR,6.75,-11.37,77.56,84,96,14.65,light rain,0.0,0,Kwepunha Retreat
478,478,Mitsamiouli,KM,-11.38,43.28,76.66,75,1,12.06,clear sky,0.0,0,Foyer ADM
481,481,Alta Floresta,BR,-9.88,-56.09,76.17,44,14,3.51,few clouds,0.0,0,Floresta Amazonica Hotel
488,488,Ushibuka,JP,32.19,130.02,75.29,92,100,16.71,moderate rain,0.0,0,Hotei
491,491,Alappuzha,IN,9.49,76.33,75.43,93,100,3.44,light rain,0.0,0,Panoramic Sea Resort
493,493,Port Moresby,PG,-9.44,147.18,78.8,88,40,11.41,haze,0.0,0,Lamana Hotel
495,495,Mao,ES,39.89,4.27,73.4,83,0,5.82,clear sky,0.0,0,ARTIEM Capri
497,497,Ikorodu,NG,6.62,3.5,77.0,94,20,2.24,few clouds,0.0,0,Royal Kaft Hotel & Suites
498,498,Awjilah,LY,29.11,21.29,80.4,46,0,8.57,clear sky,0.0,0,
502,502,The Valley,AI,18.22,-63.06,86.0,66,20,11.41,few clouds,0.0,0,CeBlue Villas & Beach Resort
508,508,Puri,IN,19.8,85.85,82.4,94,20,6.93,haze,0.0,0,OYO 1577 Hotel Shree Hari Grand
511,511,Mayo,US,38.89,-76.51,87.01,66,1,11.41,clear sky,0.0,0,Resorts Resource Group International
512,512,Manzanillo,CU,20.34,-77.12,87.28,65,33,3.27,scattered clouds,0.0,0,Adrian & Tonia
516,516,Marzuq,YE,14.4,46.47,85.96,36,65,2.1,broken clouds,0.0,0,
517,517,Muborak,UZ,39.26,65.15,83.08,24,0,13.29,clear sky,0.0,0,Gostinitsa Prestizh
521,521,Cody,US,44.53,-109.06,87.01,21,1,5.82,clear sky,0.0,0,Buffalo Bill (Cabins) Village
523,523,Banda Aceh,ID,5.56,95.32,79.81,77,97,4.05,overcast clouds,0.0,0,OYO 884 Rumoh PMI Hotel
526,526,Hobyo,SO,5.35,48.53,77.67,82,71,25.86,broken clouds,0.0,0,Osmani Hotel
532,532,Siniscola,IT,40.57,9.69,71.6,83,0,1.12,clear sky,0.0,0,Hotel Sa Tanca E Bore
533,533,Nyaunglebin,MM,17.95,96.73,76.69,92,100,2.84,overcast clouds,0.0,0,Royal Motel
534,534,Santa Cruz Cabralia,BR,-16.28,-39.02,73.4,83,20,4.7,few clouds,0.0,0,Baia Cabrália Hotel
535,535,Bianzhuang,CN,34.85,118.04,71.56,84,1,5.06,clear sky,0.0,0,Hao Shuo Business Hotel
536,536,Madingou,CG,-4.15,13.55,73.29,82,42,5.93,light rain,0.0,0,HOTEL KIM ELISA
538,538,Singarayakonda,IN,15.25,80.03,82.31,76,100,10.98,moderate rain,0.0,0,srinu tiffin shop
542,542,Caravelas,BR,-17.71,-39.25,71.37,86,0,5.41,clear sky,0.0,0,Pousada dos Navegantes
549,549,Panama City,PA,8.99,-79.52,87.01,70,40,6.93,scattered clouds,0.0,0,Trump International Hotel & Tower Panama
550,550,San Felipe,VE,10.34,-68.74,73.94,85,64,4.18,broken clouds,0.0,0,Posada Llovizna Rodríguez
554,554,Hargeysa,SO,9.56,44.06,72.99,57,62,25.37,broken clouds,0.0,0,Imperial Hotel
559,559,Bartlesville,US,36.75,-95.98,86.0,69,1,10.89,clear sky,0.0,0,Hilton Garden Inn Bartlesville
